Family,Genus,Specific epithet,species author,Clave
Leguminosae,Acacia,farnesiana,(L.) Willd.    ,ACAFAR
Leguminosae,Acacia,macracantha,Humb. & Bonpl. ex Willd. ,ACAMAC
Leguminosae,Acaciella,angustissima,(Mill.) Britton & Rose  ,ACAANG
Achatocarpaceae,Achatocarpus,gracilis,H. Walter    ,ACHGRA
Leguminosae,Aeschynomene,amorphoides,(S. Watson) Rose ex B.L. Rob.,AESAMO
Leguminosae,Albizia,occidentalis,Brandegee     ,ALBOCC
Leguminosae,Albizia,tomentosa,(Micheli) Standl.    ,ALBTOM
Anacardiaceae,Amphipterygium,adstringens,(Schltdl.) Standl.    ,AMPADS
Leguminosae,Apoplanesia,paniculata,C. Presl    ,APOPAN
Anacardiaceae,Astronium,graveolens,Jacq.     ,ASTGRA
Leguminosae,Bauhinia,pauletia,Pers.     ,BAUPAU
Boraginaceae,Bourreria,purpusii,T.S. Brandg.   ,BOUPUR
Malpighiaceae,Bunchosia,palmeri,S. Watson    ,BUNPAL
Burseraceae,Bursera,arborea,(Rose) L. Riley   ,BURARB
Burseraceae,Bursera,excelsa,(Kunth) Engl.    ,BUREXC
Burseraceae,Bursera,heteresthes,Bullock     ,BURHET
Burseraceae,Bursera,instabilis,McVaugh & Rzed.   ,BURINS
Burseraceae,Bursera,palaciosii,Rzed. & Calderón   ,BURPAL
Leguminosae,Caesalpinia,caladenia,Standl.     ,CAECAL
Leguminosae,Caesalpinia,coriaria,(Jacq.) Willd.    ,CAECOR
Leguminosae,Caesalpinia,eriostachys,Benth.     ,CAEERI
Leguminosae,Caesalpinia,platyloba,S. Watson    ,CAEPLA
Leguminosae,Caesalpinia,pulcherrima,(L.) Sw.    ,CAEPUL
Leguminosae,Caesalpinia,sclerocarpa,Standl.     ,CAESCL
Leguminosae,Calliandra,emarginata,(Humb. & Bonpl. ex Willd.) Benth.,CALEMA
Capparaceae,Capparis,flexuosa,(L.) L.    ,CAPFLE
Capparaceae,Capparis,indica,(L.) Druce    ,CAPIND
Flacourtiaceae,Casearia,aculeata,Jacq.     ,CASACU
Flacourtiaceae,Casearia,corymbosa,H.B.K.     ,CASCOR
Flacourtiaceae,Casearia,tremula,(Griseb.) Griseb. ex C. Wright ,CASTRE
Bombacaceae,Ceiba,aesculifolia,(Kunth) Britten & Baker f. ,CEIAES
Leguminosae,Senna,nicaraguensis,(Benth.) H.S. Irwin & Barneby ,SENNIC
Leguminosae,Chloroleucon,mangense,(Jacq.) Britton & Rose  ,CHLMAN
Moraceae,Chlorophora,tinctora,(L.) Gaud.    ,CHLTIN
Verbenaceae,Citharexylum,sp.1,     ,CITSP.
Euphorbiaceae,Cnidoscolus,spinosus,Lundell     ,CNISPI
Polygonaceae,Coccoloba,liebmannii,Lindau     ,COCLIE
Cochlospermaceae,Cochlospermum,vitifolium,(Willd.) Spreng.    ,COCVIT
Rhamnaceae,Colubrina,triflora,Brongn. ex Sweet   ,COLTRI
Boraginaceae,Cordia,alliodora,(Ruiz & Pav.) Oken  ,CORALL
Boraginaceae,Cordia,elaeagnoides,DC.     ,CORELA
Boraginaceae,Cordia,gerascanthus,L.     ,CORGER
Boraginaceae,Cordia,globulifera,I.M. Johnst.    ,CORGLO
Boraginaceae,Cordia,salvadorensis,Standl.     ,CORSAL
Capparaceae,Crateva,tapia,L.     ,CRATAP
Euphorbiaceae,Croton,alamosanus,Rose     ,CROALA
Euphorbiaceae,Croton,niveus,Jacq.     ,CRONIV
Euphorbiaceae,Croton,pseudoniveus,Lundell     ,CROPSE
Euphorbiaceae,Croton,roxanae,Croizat     ,CROROX
Euphorbiaceae,Croton,septemnervius,McVaugh     ,CROSEP
Euphorbiaceae,Croton,suberosus,Kunth     ,CROSUB
Anacardiaceae,Cyrtocarpa,kruseana,R.M. Fonseca    ,CYRKRU
Leguminosae,Dalbergia,congestiflora,Pittier     ,DALCON
Ebenaceae,Diospyros,aequoris,Standl.     ,DIOAEQ
Leguminosae,Diphysa,occidentalis,Rose     ,DIPOCC
Leguminosae,Erythrina,lanata,Rose     ,ERYLAN
Erythroxylaceae,Erythroxylum,rotundifolium,Lunan     ,ERYROT
Rutaceae,Esenbeckia,berlandieri,Baill.     ,ESEBER
Myrtaceae,Eugenia,rekoi,Standl.     ,EUGREK
Rubiaceae,Exostema,caribaeum,(Jacq.) Roem. & Schult.  ,EXOCAR
Capparaceae,Forchhammeria,pallida,Liebm.     ,FORPAL
Oleaceae,Forestiera,rhamnifolia,Griseb.     ,FORRHA
Nyctaginaceae,Guapira,macrocarpa,(Miranda) Miranda    ,GUAMAC
Sterculiaceae,Guazuma,ulmifolia,Lam.     ,GUAULM
Rubiaceae,Guettarda,elliptica,Sw.     ,GUEELL
Hernandiaceae,Gyrocarpus,jatrophifolius,Domin     ,GYRJAT
Leguminosae,Haematoxylum,brasiletto,H. Karst.    ,HAEBRA
Tiliaceae,Heliocarpus,pallidus,Rose.     ,HELPAL
Rubiaceae,Hintonia,latiflora,(Sessé & Moc. ex DC.) Bullock,HINLAT
Euphorbiaceae,Hura,polyandra,Baill.     ,HURPOL
Menispermaceae,Hyperbaena,ilicifolia,Standl.     ,HYPILI
Convolvulaceae,Ipomoea,wolcottiana,Rose     ,IPOWOL
Caricaceae,Jacaratia,mexicana,A. DC.    ,JACMEX
Theophrastaceae,Jacquinia,pungens,A. Gray.    ,JACPUN
Euphorbiaceae,Jatropha,platyphylla,Müll. Arg.    ,JATPLA
Euphorbiaceae,Jatropha,sympetala,S.F. Blake & Standl.  ,JATSYM
Rhamnaceae,Karwinskia,latifolia,Standl.     ,KARLAT
Amaranthaceae,Lagrezia,monosperma,(Rose) Standl.    ,LAGMON
Leguminosae,Leguminosae,sp.4,     ,LEGSP.
Leguminosae,Leucaena,lanceolata,S. Watson    ,LEULAN
Leguminosae,Lonchocarpus,constrictus,Pittier     ,LONCON
Leguminosae,Lonchocarpus,eriocarinalis,Micheli     ,LONERI
Leguminosae,Lonchocarpus,guatemalensis,Benth.     ,LONGUA
Leguminosae,Lonchocarpus,hintonii,Sandwith     ,LONHIN
Leguminosae,Lonchocarpus,lanceolatus,Benth.     ,LONLAN
Leguminosae,Lonchocarpus,longipedicellatus,Pittier     ,LONLON
Leguminosae,Lonchocarpus,magallanesii,M. Sousa    ,LONMAG
Leguminosae,Lonchocarpus,minor,M. Sousa    ,LONMIN
Leguminosae,Lonchocarpus,mutans,M. Sousa    ,LONMUT
Leguminosae,Lonchocarpus,sp.R,     ,LONSP.
Leguminosae,Lysiloma,microphyllum,Benth.     ,LYSMIC
Malpighiaceae,Malpighia,novogaliciana,W.R. Anderson    ,MALNOV
Malpighiaceae,Malpighia,ovata,Rose     ,MALOVA
Malpighiaceae,Malpighia,rzedowskii,W.R. Anderson    ,MALRZE
Euphorbiaceae,Meineckia,bartlettii,(Standl.) G.L. Webster   ,MEIBAR
Leguminosae,Mimosa,acantholoba,(Humb. & Bonpl. ex Willd.) Poir.,MIMACA
Leguminosae,Mimosa,arenosa,(Willd.) Poir.    ,MIMARE
Leguminosae,Myrospermum,frutescens,Jacq.     ,MYRFRU
Myrtaceae,Myrtaceae,sp.2,     ,MYRSP.
Euphorbiaceae,Pedilanthus,calcarathus,Schlecht.     ,PEDCAL
Euphorbiaceae,Phyllanthus,botryanthus,Müll. Arg.    ,PHYBOT
Ulmaceae,Phyllostylon,rhamnoides,(J. Poiss.) Taub.   ,PHYRHA
Leguminosae,Piptadenia,constricta,(Micheli & Rose ex Micheli) J.F.,PIPCON
Leguminosae,Piptadenia,flava,(Spreng. ex DC.) Benth.  ,PIPFLA
Euphorbiaceae,Piranhea,mexicana,(Standl.) Radcl.-Sm.    ,PIRMEX
Leguminosae,Piscidia,carthagenensis,Jacq.     ,PISCAR
Leguminosae,Platymiscium,lasiocarpum,Sandwith     ,PLALAS
Apocynaceae,Plumeria,rubra,L.     ,PLURUB
Polygonaceae,Podopterus,mexicanus,Bonpl.     ,PODMEX
Leguminosae,Pterocarpus,orbiculatus,DC.     ,PTEORB
Rubiaceae,Randia,thurberi,S. Wats.    ,RANTHU
Simaroubaceae,Recchia,mexicana,Moc. & Sessé ex DC. ,RECMEX
Polygonaceae,Ruprechtia,fusca,Fernald     ,RUPFUS
Flacourtiaceae,Samyda,mexicana,Rose     ,SAMMEX
Euphorbiaceae,Sapium,pedicellatum,Huber     ,SAPPED
Leguminosae,Senna,fruticosa,(Mill.) H.S. Irwin & Barneby ,SENFRU
Leguminosae,Senna,mollissima,(Humb. & Bonpl. ex Willd.) H.S.,SENMOL
Anacardiaceae,Spondias,purpurea,L.     ,SPOPUR
Phytolaccaceae,Stegnosperma,cubense,A. Rich.    ,STECUB
Apocynaceae,Stemmadenia,donnell-smithii,(Rose) Woodson    ,STEDON
Meliaceae,Swietenia,humilis,Zucc.     ,SWIHUM
Bignoniaceae,Tabebuia,chrysantha,G. Nicholson    ,TABCHR
Bignoniaceae,Tabebuia,impetiginosa,(Mart. ex DC.) Standl.  ,TABIMP
Sapindaceae,Thouinia,paucidentata,Radlk.     ,THOPAU
Sapindaceae,Thouinidium,decandrum,(Humb. & Bonpl.) Radlk.  ,THODEC
Meliaceae,Trichilia,trifolia,L.     ,TRITRI
Urticaceae,Urera,pacifica,V.W. Steinm.    ,UREPAC
Rutaceae,Zanthoxylum,fagara,(L.) Sarg.    ,ZANFAG
Rutaceae,Zanthoxylum,sp.3,     ,ZANSP.
